江西IPTV,#genre#
汽摩,http://192.168.0.1:4022/udp/239.252.220.181:5140
书画,http://192.168.0.1:4022/udp/239.252.219.99:5140
新动漫,http://192.168.0.1:4022/udp/239.252.220.132:5140
环球奇观,http://192.168.0.1:4022/udp/239.252.220.135:5140
中华特产,http://192.168.0.1:4022/udp/239.252.220.213:5140
四海钓鱼,http://192.168.0.1:4022/udp/239.252.220.214:5140
车迷,http://192.168.0.1:4022/udp/239.252.220.215:5140
生态环境,http://192.168.0.1:4022/udp/239.252.220.216:5140
家庭理财,http://192.168.0.1:4022/udp/239.252.220.217:5140
环球旅游,http://192.168.0.1:4022/udp/239.252.220.218:5140
优优宝贝,http://192.168.0.1:4022/udp/239.252.220.219:5140
中国天气,http://192.168.0.1:4022/udp/239.252.219.143:5140
证券服务,http://192.168.0.1:4022/udp/239.252.219.144:5140
百姓健康,http://192.168.0.1:4022/udp/239.252.219.146:5140
天翼高清1,http://192.168.0.1:4022/udp/239.252.220.225:5140
天翼高清2,http://192.168.0.1:4022/udp/239.252.220.226:5140
天翼高清3,http://192.168.0.1:4022/udp/239.252.220.227:5140
天翼高清4,http://192.168.0.1:4022/udp/239.252.220.228:5140
天翼高清5,http://192.168.0.1:4022/udp/239.252.220.229:5140
天翼高清6,http://192.168.0.1:4022/udp/239.252.220.230:5140
天翼高清7,http://192.168.0.1:4022/udp/239.252.220.231:5140
天翼高清8,http://192.168.0.1:4022/udp/239.252.220.232:5140
天翼高清9,http://192.168.0.1:4022/udp/239.252.220.233:5140
天翼高清10,http://192.168.0.1:4022/udp/239.252.220.234:5140
天翼4K-15M,http://192.168.0.1:4022/udp/239.252.220.236:5140
IPTV谍战剧场,http://192.168.0.1:4022/udp/239.252.220.145:5140
IPTV相声小品,http://192.168.0.1:4022/udp/239.252.220.146:5140
IPTV野外,http://192.168.0.1:4022/udp/239.252.220.73:5140
IPTV法治,http://192.168.0.1:4022/udp/239.252.220.74:5140
爱电影,http://192.168.0.1:4022/udp/239.252.220.142:5140
经典电影,http://192.168.0.1:4022/udp/239.252.220.139:5140
爱大剧,http://192.168.0.1:4022/udp/239.252.220.143:5140
热播剧场,http://192.168.0.1:4022/udp/239.252.220.138:5140
爱综艺,http://192.168.0.1:4022/udp/239.252.220.140:5140
爱体育高清,http://192.168.0.1:4022/udp/239.252.220.211:5140
少儿动画,http://192.168.0.1:4022/udp/239.252.220.136:5140
魅力时尚,http://192.168.0.1:4022/udp/239.252.220.137:5140
收视指南,http://192.168.0.1:4022/udp/239.252.220.144:5140
城市剧场,http://192.168.0.1:4022/udp/239.252.220.75:5140
军旅剧场,http://192.168.0.1:4022/udp/239.252.220.76:5140
古装剧场,http://192.168.0.1:4022/udp/239.252.220.77:5140
喜剧影院,http://192.168.0.1:4022/udp/239.252.220.79:5140
动作影院,http://192.168.0.1:4022/udp/239.252.220.85:5140
家庭影院,http://192.168.0.1:4022/udp/239.252.220.86:5140
音乐现场,http://192.168.0.1:4022/udp/239.252.220.87:5140
武侠剧场,http://192.168.0.1:4022/udp/239.252.220.88:5140
爱生活,http://192.168.0.1:4022/udp/239.252.220.89:5140
好学生,http://192.168.0.1:4022/udp/239.252.220.90:5140
精选,http://192.168.0.1:4022/udp/239.252.219.161:5140
国学,http://192.168.0.1:4022/udp/239.252.219.162:5140
戏曲,http://192.168.0.1:4022/udp/239.252.219.163:5140
早教,http://192.168.0.1:4022/udp/239.252.219.164:5140
动画,http://192.168.0.1:4022/udp/239.252.219.165:5140
鉴赏,http://192.168.0.1:4022/udp/239.252.219.166:5140
墨宝,http://192.168.0.1:4022/udp/239.252.219.168:5140
光影,http://192.168.0.1:4022/udp/239.252.220.200:5140
台球,http://192.168.0.1:4022/udp/239.252.220.201:5140
美人,http://192.168.0.1:4022/udp/239.252.220.202:5140
武术,http://192.168.0.1:4022/udp/239.252.220.203:5140
高网,http://192.168.0.1:4022/udp/239.252.220.204:5140
足球,http://192.168.0.1:4022/udp/239.252.220.205:5140
军事,http://192.168.0.1:4022/udp/239.252.220.206:5140
地理,http://192.168.0.1:4022/udp/239.252.220.207:5140
美妆,http://192.168.0.1:4022/udp/239.252.220.208:5140
解密,http://192.168.0.1:4022/udp/239.252.220.209:5140
星影,http://192.168.0.1:4022/udp/239.252.220.210:5140
